Iteration,ACO_N20,GA_N20,A*_N20,ACO_N50,GA_N50,A*_N50
110,730.4,737.5,738,1676.2,1795.6,1922
111,730.4,737.5,738,1676.2,1795.6,1922
112,730.4,737.5,738,1678.05,1795.6,1922
113,730.4,737.5,738,1678.05,1798.8,1922
114,730.4,737.5,738,1678.25,1798.8,1922
115,730.4,737.5,738,1678.25,1798.8,1922
116,730.4,737.5,738,1678.25,1798.8,1922
117,730.4,737.5,738,1678.25,1798.8,1922
118,730.8,737.5,738,1678.25,1798.8,1922
119,730.8,737.5,738,1678.25,1798.8,1922
120,730.8,737.5,738,1678.45,1798.8,1922
121,730.8,737.5,738,1678.9,1798.8,1922
122,731.4,737.5,738,1678.9,1799.55,1922
123,731.4,737.5,738,1678.9,1799.55,1922
124,731.4,737.5,738,1680.8,1799.55,1922
125,731.4,737.5,738,1680.8,1799.95,1922
126,731.4,737.5,738,1680.8,1799.95,1922
127,731.4,737.5,738,1680.8,1799.95,1922
128,731.4,737.5,738,1680.8,1799.95,1922
129,731.4,737.5,738,1680.8,1799.95,1922
130,731.4,737.5,738,1680.8,1799.95,1922
131,731.4,737.5,738,1680.8,1799.95,1922
132,731.4,737.5,738,1680.8,1799.95,1922
133,731.4,737.5,738,1680.8,1800.3,1922
134,731.4,737.5,738,1680.8,1803.0,1922
135,731.4,737.5,738,1680.8,1803.0,1922
136,731.4,737.5,738,1680.8,1803.0,1922
137,731.4,737.5,738,1680.8,1803.25,1922
138,731.4,737.5,738,1680.8,1803.25,1922
139,731.4,737.5,738,1680.8,1803.25,1922
140,731.9,737.5,738,1680.8,1803.25,1922
141,731.9,737.5,738,1680.8,1803.25,1922
142,731.9,737.5,738,1681.75,1803.25,1922
143,731.9,737.5,738,1681.75,1803.55,1922
144,731.9,737.5,738,1681.75,1804.35,1922
145,731.9,737.5,738,1681.75,1804.35,1922
146,731.9,737.5,738,1681.75,1804.35,1922
147,731.9,737.5,738,1681.75,1804.35,1922
148,731.9,737.5,738,1681.75,1804.35,1922
149,731.9,737.5,738,1682.7,1804.35,1922
150,732.0,737.5,738,1682.7,1804.35,1922
151,732.0,737.5,738,1685.9,1804.35,1922
152,732.0,737.5,738,1685.9,1804.65,1922
153,732.0,737.5,738,1685.9,1804.65,1922
154,732.0,737.5,738,1685.9,1805.3,1922
155,732.0,737.5,738,1685.9,1805.3,1922
156,732.0,737.5,738,1685.9,1805.3,1922
157,732.0,737.5,738,1685.9,1805.3,1922
158,732.0,737.5,738,1685.9,1805.3,1922
159,732.5,737.5,738,1685.9,1805.4,1922
160,732.5,737.5,738,1685.9,1805.4,1922
161,732.5,737.5,738,1685.9,1805.4,1922
162,732.5,737.5,738,1685.9,1805.4,1922
163,733.45,737.5,738,1685.9,1805.4,1922
164,733.45,737.5,738,1685.9,1805.4,1922
165,733.45,737.5,738,1685.9,1806.55,1922
166,733.45,737.5,738,1685.9,1806.75,1922
167,733.45,737.5,738,1685.9,1806.8,1922
168,733.45,737.5,738,1685.9,1806.8,1922
169,733.45,737.5,738,1685.9,1807.95,1922
170,733.45,737.5,738,1687.35,1807.95,1922
171,733.45,737.5,738,1687.35,1807.95,1922
172,733.45,737.5,738,1687.35,1807.95,1922
173,733.45,737.5,738,1688.3,1807.95,1922
174,733.45,737.5,738,1688.3,1807.95,1922
175,733.45,737.5,738,1688.3,1807.95,1922
176,733.45,737.5,738,1688.3,1807.95,1922
177,733.45,737.5,738,1688.3,1807.95,1922
178,733.45,737.5,738,1688.3,1807.95,1922
179,733.45,737.5,738,1688.3,1807.95,1922
180,733.45,737.5,738,1688.3,1807.95,1922
181,733.45,737.5,738,1688.3,1807.95,1922
182,733.45,737.5,738,1688.3,1807.95,1922
183,733.6,737.5,738,1692.9,1807.95,1922
184,733.6,737.5,738,1692.9,1807.95,1922
185,733.6,737.5,738,1692.9,1807.95,1922
186,733.6,737.5,738,1692.9,1807.95,1922
187,733.6,737.5,738,1692.9,1807.95,1922
188,733.6,737.5,738,1692.9,1807.95,1922
189,733.6,737.5,738,1692.9,1807.95,1922
190,733.6,737.5,738,1692.9,1807.95,1922
191,733.6,737.5,738,1695.6,1807.95,1922
192,733.6,737.5,738,1695.6,1807.95,1922
193,733.6,737.5,738,1695.75,1807.95,1922
194,734.1,737.5,738,1695.75,1807.95,1922
195,734.1,737.5,738,1695.75,1807.95,1922
196,734.1,737.5,738,1695.75,1807.95,1922
197,734.35,737.5,738,1698.65,1807.95,1922
198,734.35,737.5,738,1698.8,1807.95,1922
199,734.35,737.5,738,1698.8,1809.45,1922
200,734.4,737.5,738,1698.8,1809.45,1922
201,734.4,737.5,738,1698.8,1809.45,1922
202,734.4,737.5,738,1698.8,1809.45,1922
203,734.4,737.5,738,1698.8,1809.45,1922
204,734.4,737.5,738,1698.8,1809.45,1922
205,734.4,737.5,738,1698.8,1809.45,1922
206,734.4,737.5,738,1698.8,1809.45,1922
207,734.4,737.5,738,1698.8,1809.45,1922
208,734.4,737.5,738,1698.8,1810.6,1922
209,734.4,737.5,738,1698.8,1811.45,1922
210,734.4,737.5,738,1698.8,1811.45,1922
211,734.4,738.0,738,1698.8,1811.45,1922
212,734.4,738.0,738,1698.8,1811.45,1922
213,734.4,738.0,738,1698.8,1811.45,1922
214,734.4,738.0,738,1698.8,1811.8,1922
215,734.4,738.0,738,1698.8,1811.8,1922
216,734.4,738.0,738,1702.95,1811.8,1922
217,734.4,738.0,738,1702.95,1811.8,1922
218,734.4,738.0,738,1702.95,1811.8,1922
219,734.4,738.0,738,1702.95,1812.6,1922
220,734.4,738.0,738,1705.0,1812.6,1922
221,734.4,738.0,738,1705.0,1812.6,1922
222,734.4,738.0,738,1706.35,1812.6,1922
223,734.4,738.0,738,1706.35,1812.6,1922
224,734.4,738.0,738,1706.35,1812.6,1922
225,734.4,738.0,738,1706.35,1812.6,1922
226,734.4,738.0,738,1706.35,1813.0,1922
227,734.4,738.0,738,1706.35,1813.0,1922
228,734.4,738.0,738,1706.35,1813.0,1922
229,734.9,738.0,738,1706.35,1813.0,1922
230,734.9,738.0,738,1706.35,1813.0,1922
231,734.9,738.0,738,1706.35,1813.0,1922
232,734.9,738.0,738,1706.35,1813.0,1922
233,734.9,738.0,738,1706.35,1813.0,1922
