Algorithm,N_Items,Avg_Fitness,Std_Dev_Fitness,Min_Fitness,Max_Fitness,Avg_Time
ACO,20,738.0,0.0,738,738,1.0076487898826598
GA,20,738.0,0.0,738,738,0.835019564628601
A*,20,738.0,0.0,738,738,0.0005837559700012207
ACO,50,1739.5,21.779577590026857,1701,1786,2.2387791156768797
GA,50,1847.7,14.758387445788243,1823,1873,1.1079447150230408
A*,50,1922.0,0.0,1922,1922,0.0020200014114379883
